Rango de edad,¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones estáticas (para imprimir)],¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones interactivas (para usar el mouse y realizar acciones)],¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones animadas (gift/videos)],¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Televisión],¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Redes Sociales],"¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Prensa Escrita (página de noticia, periodico)]","¿Con qué número asocia ""Una maraqueta""?
Link a la imagen",¿Estación del año favorita?,¿Cuantas películas o series has visto aproximadamente este año?,¿Cuantos libros/papers/mangas distintos has leido aproximadamente este año? No es necesario que los hayas terminado de leer,¿Cuanto es el máximo de completos que te has comido en un día?,¿Cuanto veces aproximadamente has salido de fiesta este año?,"El tamaño del círculo de la izquierda representa el valor 1, a medida que aumenta el tamaño (área), el valor es más grande. ¿Qué valor crees que representa el círculo de la derecha?","El largo de la barra de la izquierda representa el valor 1, a medida que aumenta el largo, el valor es más grande. ¿Qué valor crees que representa la barra de la derecha?","El color del circulo de la izquierda representa el valor 1, a medida que el color se vuelve más claro, el valor es más grande. ¿Qué valor crees que representa el círculo de la derecha?",¿A qué color asocia el curso de “Matemáticas” (piense en el forro de cuaderno del colegio)?,¿A qué color asocia el curso de “Lenguaje” (piense en el forro de cuaderno del colegio)?,Conteste un animal cualquiera,Conteste con otro animal que esté relacionado al que dijo en la pregunta anterior,Conteste con un tercer animal que esté relacionado al que dijo justo antes,Tienes hobbies ¿cuales?,Piense en una fecha que le guste,¿Qué país le gustaría visitar?,"Si tuviera que organizar una junta (de amigos, para ir al cine, de trabajo o cualquier tema) ¿A qué hora la haría?"
19 a 25 años,Me es indiferente,Me gusta,Me gusta,No uso este medio,Más de 6,3 a 5,4,Verano,69,3,5,10,9,3,5,Azul,Rojo,Perro,Gato,Perro,Pc,4/5/2022,España,9:30:00 a. m.
19 a 25 años,Me gusta,No tengo opinión,Me gusta,No uso este medio,3 a 5,No uso este medio,4,Invierno,5,3,6,0,9,3,5,Azul,Rojo,carpincho,Rata,Rata,videojuegos,29/10/2018,,11:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,3 a 5,4,Verano,20,0,7,15,8,3,6,Azul,Rojo,hipopotamo,cocodrilo,serpiente,pintar,28/7/1969,Tailandia,6:33:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Ninguna,Más de 6,1 o 2,4,Verano,4,1,5,20,6,3,10,Verde,Rojo,serpiente,lagartija,Camaleón,cocinar,16/10/2001,brasil,10:00:00 p. m.
19 a 25 años,Me gusta,No me gusta,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,4,Invierno,3,2,3,6,6,3,6,Azul,Rojo,Gato,Puma,caracal,series,8/9/1999,Japón,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,3 a 5,No uso este medio,4,Primavera,5,2,2,10,16,5,3,Amarillo,Naranjo,Gato,leon,tigre,"gimnasio, musica",1/1/1111,Italia,5:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,Más de 6,Más de 6,1 o 2,4,Otoño,5,6,4,40,16,3,6,Rojo,Amarillo,Perro,Lobo,hiena,tocar guitarra,6/12/2022,francia,10:00:00 p. m.
26 a 35 años,Me es indiferente,Me gusta,Me gusta,No uso este medio,1 o 2,No uso este medio,4,Primavera,8,3,5,8,9,3,2,Verde,Rojo,Pudú,Puma,Lince,,29/2/2020,Japón,9:00:00 a. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,1 o 2,2,Primavera,15,10,1,5,20,3,20,Azul,Rojo,Gato,Perro,caballo,,10/6/2008,Italia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,3 a 5,3 a 5,No uso este medio,4,Otoño,20,10,2,40,6,3,5,Azul,Rojo,Delfín,Ballena,Estrella de mar,"Leer, jugar tenis",25/12/2022,Italia,8:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,No uso este medio,Más de 6,1 o 2,4,Verano,30,5,3,10,15,3,10,Rojo,Azul,Perro,Gato,Puma,,11/11/1111,Australia,9:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,Más de 6,Más de 6,Más de 6,4,Primavera,1,10,2,30,5,2,3,Azul,Rojo,Beluga,Ballena,Foca,Tocar música,18/9/1810,Islandia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me es indiferente,Ninguna,Más de 6,Ninguna,3,Verano,5,0,7,9,10,10,10,Rojo,Amarillo,Zorro,Lobo,Coyote,,24/12/0022,Holanda,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,No uso este medio,3 a 5,No uso este medio,3,Invierno,10,1,5,1,16,3,50,Rojo,Azul,Iguana,Lagartija,Serpiente,Guitarra,11/2/1999,Noruega,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me es indiferente,No uso este medio,Más de 6,1 o 2,4,Invierno,6,4,5,4,13,3,5,Naranjo,Azul,Perro,Lobo,Zorro,Leer,18/9/2019,Inglaterra,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,1 o 2,3,Primavera,5,1,5,3,9,3,4,Rojo,Azul,Perro,Gato,Rata,correr,18/9/2022,España,6:00:00 p. m.
36 a 50 años,Me gusta,Me gusta,No me gusta,Más de 6,Más de 6,Más de 6,4,Primavera,24,36,6,5,8,3,6,Verde,Rojo,esponja,pez payaso,mantaraya,Hacer clases en la UC,21/3/2023,Norcorea,3:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,1 o 2,Más de 6,No uso este medio,4,Otoño,10,6,3,2,2,2,2,Azul,Rojo,Chinchilla,Monito del monte,Cabra montañesa,"Juegos, anime/manga, series, libros",7/12/2000,Japón,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,3 a 5,3 a 5,No uso este medio,4,Primavera,3,4,2,20,5,3,5,Amarillo,Rojo,Ballena,Delfin,Orca,Malabarismo,2/7/2022,Japón,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,4,Primavera,10,15,3,20,16,3,3,Azul,Rojo,tardígrado,oso,artrópodo,"Tocar piano, andar en bicicleta, trekking, fotografía",23/10/1960,Islandia,10:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,3,Primavera,5,5,4,1,10,3,10,Rojo,Naranjo,Dragón de komodo,Salamandra,Cocodrilo,Videojuegos,7/1/1997,Estados Unidos,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,3 a 5,No uso este medio,4,Invierno,20,30,4,15,10,4,5,Amarillo,Rojo,Gato,Puma,León,,30/10/2001,Canadá,6:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,1 o 2,Más de 6,1 o 2,4,Primavera,10,20,4,10,5,3,4,Azul,Rojo,Perro,Gato,Rata,"gaming
leer manga
tocar la guitarra",17/5/2002,Holanda,7:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,1 o 2,Más de 6,1 o 2,3,Primavera,10,5,3,2,12,3,10,Azul,Rojo,Gato,Tigre,León,Jugar competitivo,16/6/2014,España,10:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,No tengo opinión,No uso este medio,1 o 2,3 a 5,4,Invierno,28,40,6,2,5,3,50,Azul,Rojo,Pingüino,orca,oso polar,"Anime/manga, series, video juegos",7/8/2022,Japón,4:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,No me gusta,No uso este medio,Más de 6,1 o 2,4,Otoño,8,1,3,3,9,3,8,Azul,Amarillo,Loro,Buo,Murciélago,Buscar hobbies,25/11/2022,Holanda,5:30:00 p. m.
19 a 25 años,Me es indiferente,No tengo opinión,No tengo opinión,1 o 2,3 a 5,1 o 2,4,Verano,12,12,5,3,5,3,-4,Azul,Rojo,Gato,Guepardo,Chita,Gym,17/9/2017,Alemania,2:00:00 a. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,Ninguna,Más de 6,Más de 6,3,Primavera,16,33,4,50,10,5,6,Rojo,Azul,Perro,Lobo,Oso,Futbol,25/8/2002,Japón,6:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,1 o 2,Más de 6,1 o 2,5,Otoño,4,2,8,3,7,3,4,Rojo,Azul,ballena,delfin,orca,tocar piano,18/9/2022,Islandia,6:00:00 p. m.
19 a 25 años,No me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,4,Otoño,6,80,7,15,5,3,7,Rojo,Naranjo,León,Gacelas,Cebra,"Guitarra, rap y skate",4/9/1970,Grecia,7:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,1 o 2,3 a 5,Ninguna,3,Otoño,100,2,5,36,9,3,5,Verde,Rojo,Tortuga,Liebre,Conejo,Lol,20/2/2020,Japón,7:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,No uso este medio,Más de 6,3 a 5,4,Primavera,18,1,3,4,6,3,3,Rojo,Amarillo,oso panda,panda Rojo,tigre,si tengo plata coleccionar camaras a rollo,9/5/2022,España,7:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gustan demasiado,No uso este medio,Más de 6,3 a 5,2,Invierno,10,5,3,20,8,3,3,Azul,Rojo,Conejo,Hamster,Chinchilla,,25/12/2022,Japón,5:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,1 o 2,1 o 2,Ninguna,3,Primavera,12,2,4,15,8,3,3,Verde,Rojo,Halcón,Águila,Buitre,No,30/5/2022,Suiza,6:30:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,3 a 5,Más de 6,3 a 5,4,Verano,3,10,7,25,8,3,15,Azul,Rojo,Toro,Vaca,Ciervo,"Deportes, golf, bicicleta",18/9/2022,Inglaterra,7:00:00 p. m.
26 a 35 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,No uso este medio,3,Otoño,20,5,4,0,16,4,4,Amarillo,Rojo,tortuga,liebre,zorro,"guitarra, pasear Perros, memes",17/11/2019,Líbano,7:00:00 p. m.
19 a 25 años,Me gustan demasiado,No me gusta,Me es indiferente,No uso este medio,Más de 6,3 a 5,3,No tengo estación favorita,23,45,10,46,12,3,150,Morado,Verde,Hipopotamo,Pato,Ornitorrinco,Padel,11/11/1111,Malta,6:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,3 a 5,Más de 6,Más de 6,3,Otoño,25,10,5,2,11,3,1000000,Azul,Naranjo,Chungungo,Nutria,ChungTria,,26/4/1986,Noruega,12:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,Más de 6,3 a 5,Más de 6,3,Verano,6,0,3,25,5,3,6,Azul,Amarillo,Leopardo,Tigre,León,Hacer música,18/9/2022,Inglaterra,9:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,3 a 5,Más de 6,1 o 2,4,Otoño,50,10,2,20,5,3,10,Amarillo,,jirafa,hipopotamo,leon,puzzles,18/9/2022,Canadá,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,1 o 2,No uso este medio,3,Invierno,10,7,3,4,7,3,8,Azul,Rojo,Pingüino,oso polar,pez,"tocar piano, jugar juegos en línea",8/9/2000,Noruega,6:30:00 p. m.
19 a 25 años,Me gustan demasiado,Me gustan demasiado,Me gustan demasiado,1 o 2,Más de 6,Ninguna,4,Primavera,20,5,3,30,5,6,6,Amarillo,Rojo,Tigre,Gato,Lince,Maquillar y ver One Piece,10/2/1998,Australia,7:00:00 p. m.
19 a 25 años,Me es indiferente,Me es indiferente,Me es indiferente,3 a 5,1 o 2,Más de 6,3,Verano,3,5,4,2,16,3,16,Rojo,Azul,Perro,Gato,Conejo,Ver tenis,4/7/2015,Japón,5:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,3 a 5,4,Otoño,15,6,2,0,4,3,4,Azul,Rojo,Caballo,Potrillo,Yegua,Climbing,2/4/2022,Nueva Zelanda,4:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gusta,No tengo opinión,Más de 6,Más de 6,No uso este medio,4,Otoño,20,15,4,2,5,3,3,Rojo,Amarillo,Vaca,Ojeva,Cabra,Natacion,25/7/2016,Grecia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,1 o 2,Más de 6,No uso este medio,3,Invierno,7,6,7,10,7,7,6,Rojo,Azul,Lobo,Leon,Tiburon,,3/6/2022,Japón,6:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,3 a 5,1 o 2,Más de 6,3,Verano,8,4,2,0,8,3,7,Verde,Rojo,hurón,marta,comadreja,"gaming, tocar batería, hacer figuras con beads",10/3/1985,Inglaterra,5:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,3 a 5,Más de 6,1 o 2,3,Verano,34,1,4,8,8,3,7,Verde,Rojo,Perro,Gato,Rata,"futbol, padel, escuchar musica y ver pelis",23/9/2000,sudeste asiatico,9:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gustan demasiado,Ninguna,Más de 6,1 o 2,4,Invierno,20,15,4,8,10,3,4,Rojo,Azul,pinguino,oso polar,salmon,videojuegos,10/5/2022,Japón,8:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gusta,Me gustan demasiado,3 a 5,Más de 6,3 a 5,4,Invierno,19,10,10,5,3,3,3,Azul,Rojo,Elefante,Jirafa,Leon,Tocar instrumento,18/1/2016,Iran,7:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gustan demasiado,3 a 5,Más de 6,3 a 5,3,Primavera,5,8,4,8,4,3,4,Rojo,Azul,Lobo,Zorro,Perro,Leer,22/8/2002,Estados Unidos,6:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gusta,No tengo opinión,1 o 2,Más de 6,1 o 2,4,Otoño,20,10,4,0,10,3,5,Azul,Rojo,Ballena,Orca,Delfin,,8/8/2008,Suiza,8:00:00 p. m.
18 o menos años,Me gustan demasiado,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,Más de 6,2,Primavera,20,40,4,1,12,3,155,Rojo,Azul,carpincho,cuyi,hámster,leer manga,4/10/2005,Grecia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,3 a 5,3 a 5,3 a 5,4,Otoño,10,8,3,1,12,3,155,Azul,Rojo,Mapache,Zarigueya,Erizo,Videojuegos,2/1/2022,Grecia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,1 o 2,1 o 2,4,Verano,30,2,6,50,9,3,13,Amarillo,Azul,Tardígrado,Oso,Lobo,"Ajedrez, guitarra",18/9/2022,Islandia,10:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,1 o 2,3 a 5,Más de 6,4,Primavera,15,12,4,5,10,3,8,Azul,Rojo,Ballena Azul,Cachalote,Orca,Fotografía,22/11/2001,Escocia,3:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me es indiferente,Me gusta,3 a 5,Más de 6,3 a 5,4,Invierno,8,3,2,1,3,3,2,Azul,Rojo,Tucán,Guacamayo,Paloma,"Sí: coleccionar zapatillas, coleccionar vinilos, escuchar álbumes de musica y jugar videojuegos.",17/4/2000,Japón,5:00:00 p. m.
26 a 35 años,No tengo opinión,Me gusta,Me gusta,No uso este medio,3 a 5,3 a 5,4,Otoño,5,5,5,364,10,3,8000,Azul,Rojo,Toro,Vaca,Oveja,Guitarra,18/9/2022,Noruega,6:00:00 p. m.
26 a 35 años,Me es indiferente,Me gusta,Me gusta,No uso este medio,Más de 6,1 o 2,4,Otoño,8,3,3,5,12,3,2,Azul,Rojo,Perro,Gato,cuyi,armar robot,29/8/2022,Italia,6:00:00 p. m.
18 o menos años,Me es indiferente,Me es indiferente,Me gustan demasiado,No uso este medio,Más de 6,3 a 5,3,Primavera,10,5,2,5,10,3,8,Azul,Rojo,Perro,Gato,León,,15/10/2003,Estados Unidos,8:30:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,No uso este medio,4,Primavera,5,6,2,11,10,3,10,Azul,Rojo,Oso,Oso pardo,Oso polar,"Bordar, leer, jugar videojuegos (lol) y hacer repostería.",22/2/2002,Suiza,6:30:00 p. m.
51 o más años,Me gusta,Me gusta,No tengo opinión,3 a 5,Más de 6,1 o 2,4,Verano,20,15,1,5,53,34,4,Azul,Rojo,Perro,Gato,Conejo,bailar,26/12/1966,España,6:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gustan demasiado,3 a 5,Más de 6,3 a 5,4,Invierno,6,3,6,20,5,4,10,Rojo,Azul,zorro,Lobo,Perro,"Si, jugar tenis",13/12/2017,Japón,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me es indiferente,Más de 6,Más de 6,1 o 2,3,Primavera,5,20,10,35,7,3,5,Azul,Rojo,Chunguno,Foca,Delfín,"Fútbol, Lol, Pecera, Deporte, Videojuegos",26/9/2022,España,3:00:00 p. m.
19 a 25 años,Me gusta,No me gusta,No me gusta,3 a 5,Más de 6,No uso este medio,3,Verano,32,2,4,10,9,3,7,Verde,Rojo,condor,huemul,venado,Rugby,25/12/2022,Holanda,6:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,No me gusta,3 a 5,Más de 6,No uso este medio,4,Verano,10,5,3,25,5,3,12,Verde,Rojo,tigre,León,cebra,fútbol,23/12/2022,Australia,2:30:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,Más de 6,4,Primavera,23,9,6,0,16,3,5,Azul,Amarillo,Gato,carpincho,pato,"Tocar batería, practicar handball, karate, jugar videojuegos, ver anime y leer manga.",10/10/2017,España,4:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,3 a 5,3 a 5,3,Otoño,60,6,3,12,5,3,4,Rojo,Verde,Elefante,Rata,hamster,"tejer, tocar guitarra, leer, pintar",7/8/2018,Australia,9:00:00 p. m.
19 a 25 años,Me gusta,No tengo opinión,Me gusta,1 o 2,Más de 6,1 o 2,4,Invierno,7,27,1,1,11,3,22,Azul,Rojo,Tigre,Leon,Puma,Aprender algo nuevo,16/1/2028,Italia,7:00:00 p. m.
19 a 25 años,Me es indiferente,Me es indiferente,Me gusta,No uso este medio,Más de 6,No uso este medio,3,Invierno,20,2,2,8,11,3,6,Rojo,Azul,Renacuajo,Sapo,Salamandra,La reposteria,30/9/2017,Irlanda,9:00:00 p. m.
51 o más años,No tengo opinión,Me gusta,Me gusta,No uso este medio,Más de 6,3 a 5,4,Primavera,10,4,2,2,5,3,4,Azul,Rojo,Perro,Gato,Rata,"Tejer, bordar, Leer, Yoga",27/10/2022,Italia,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,Más de 6,Más de 6,No uso este medio,3,Invierno,8,2,3,8,4,3,3,Azul,Rojo,Elefante,mamut,tigre dientes de sable,fútbol,25/12/0001,Canadá,9:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,No uso este medio,3 a 5,3 a 5,4,Otoño,20,25,6,10,3,3,2,Azul,Rojo,Cuy,Llama,Alpaca,Tocar piano y trotar,17/12/2001,Japón,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,1 o 2,Más de 6,3 a 5,2,Primavera,20,25,3,40,4,3,3,Azul,Rojo,Alpaca,Camello,Dromedario,"Dibujar, leer",18/9/2021,Vietnam,5:00:00 a. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,No uso este medio,Más de 6,1 o 2,4,Primavera,20,2,2,10,16,3,5,Azul,"Rojo, café. colores cálidos",girafa,cebra,León,"sí, tomar fotos, escuchar música, jugar en línea, andar en bicicleta, ver cine",27/7/2022,argentina,2:00:00 p. m.
19 a 25 años,No me gusta,Me gustan demasiado,Me gusta,Más de 6,Más de 6,No uso este medio,3,Verano,20,10,2,6,5,3,3,Azul,Rojo,Delfín,Orca,Ballena,Videojuegos,25/12/2008,Suiza,3:30:00 a. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,Ninguna,Más de 6,3 a 5,4,Invierno,7,2,5,12,9,4,5,Rojo,Amarillo,Ardilla,Castor,Ornitorrinco,Programar,25/2/2004,Italia,6:30:00 a. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,No uso este medio,Más de 6,1 o 2,4,Invierno,20,30,4,10,7,3,1000,Rojo,Azul,axolotl,sapo,Rana,"Escribir cuentos, leer ética y comer uwu.",9/5/1998,Yemen,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,No tengo opinión,No uso este medio,No uso este medio,No uso este medio,3,Invierno,8,3,3,13,4,3,3,Azul,Rojo,Perro,Gato,Rata,"jugar en el pc, escuchar/tocar musica, ejercitar",24/12/2022,,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,4,Verano,2,0,3,30,6,3,4,Azul,Rojo,Gato,Perro,Hamster,,21/12/2022,Italia,9:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,Más de 6,Más de 6,3 a 5,4,Verano,6,5,11,50,18,3,5,Rojo,Azul,Conejo,Liebre,Gato,Jugar lol,8/10/1998,Marruecos,6:00:00 p. m.
